Team,Rating
Brazil,2131
Germany,2092
Spain,2049
Argentina,1985
France,1984
Portugal,1975
England,1941
Colombia,1935
Belgium,1931
Netherlands,1907
Peru,1906
Italy,1898
Uruguay,1891
Switzerland,1879
Chile,1874
Mexico,1859
Croatia,1853
Denmark,1843
Poland,1831
Sweden,1796
Iran,1796
Iceland,1787
Wales,1775
Serbia,1770
Slovakia,1762
United States,1755
Senegal,1747
Ecuador,1747
Paraguay,1746
South Korea,1745
Costa Rica,1745
Ukraine,1741
Venezuela,1739
Bosnia and Herzegovina,1731
Austria,1726
Ireland,1724
Czech Republic,1722
Turkey,1720
Scotland,1718
Australia,1714
Morocco,1711
Romania,1706
Nigeria,1699
Japan,1692
Russia,1685
Northern Ireland,1684
Bolivia,1682
Panama,1669
Cameroon,1657
Tunisia,1649
Greece,1646
Egypt,1643
Ghana,1617
Norway,1615
Bulgaria,1615
Montenegro,1611
Honduras,1610
Slovenia,1606
Syria,1606
Finland,1604
Ivory Coast,1602
Uzbekistan,1602
Saudi Arabia,1600
Albania,1596
Burkina Faso,1585
Hungary,1584
Democratic Republic of Congo,1583
Jamaica,1574
South Africa,1557
Iraq,1550
Oman,1539
Canada,1534
United Arab Emirates,1532
Belarus,1531
Israel,1527
Algeria,1524
China,1520
Mali,1519
Macedonia,1518
New Zealand,1515
Guatemala,1511
Georgia,1506
Estonia,1504
Haiti,1495
Qatar,1486
Libya,1476
Jordan,1471
Zambia,1470
Armenia,1464
Lebanon,1459
North Korea,1457
El Salvador,1457
Uganda,1457
Guinea,1455
Northern Cyprus,1455
Zimbabwe,1451
Gabon,1439
Kuwait,1430
Cape Verde,1428
Trinidad and Tobago,1425
Kurdistan,1424
Martinique,1423
Benin,1415
Bahrain,1414
Lithuania,1412
Kosovo,1405
Cyprus,1403
Thailand,1397
Congo,1394
Azerbaijan,1393
Togo,1390
Palestine,1390
Réunion,1381
Sierra Leone,1377
French Guiana,1377
Namibia,1371
Zanzibar,1370
Kenya,1361
Madagascar,1358
Kazakhstan,1354
Latvia,1343
Equatorial Guinea,1333
Luxembourg,1326
Moldova,1325
Tanzania,1318
Burundi,1316
Mauritania,1316
Mozambique,1315
Swatini,1315
Central African Republic,1312
Malawi,1310
Liberia,1307
Cuba,1298
Niger,1295
Faroe Islands,1294
Curaçao,1291
Vietnam,1285
Rwanda,1282
Guinea-Bissau,1278
Botswana,1278
Nicaragua,1278
Ethiopia,1277
Gambia,1276
Angola,1259
Guadeloupe,1259
Lesotho,1258
Dominican Republic,1258
Chad,1256
Fiji,1247
Sudan,1245
Kyrgyzstan,1244
Saint Kitts and Nevis,1242
Turkmenistan,1239
Suriname,1238
Indonesia,1231
Tahiti,1225
Vanuatu,1225
Mayotte,1219
Antigua and Barbuda,1208
New Caledonia,1207
Malta,1202
Solomon Islands,1200
Tajikistan,1197
Yemen,1194
Bermuda,1190
Guyana,1190
Philippines,1186
Hong Kong,1183
Belize,1168
Afghanistan,1154
India,1149
Liechtenstein,1143
Barbados,1137
Grenada,1103
Saint Vincent and the Grenadines,1102
Saint Lucia,1100
Gibraltar,1094
Papua New Guinea,1093
São Tomé and Príncipe,1080
Eritrea,1077
Mauritius,1075
Myanmar,1068
South Sudan,1057
Malaysia,1053
Comoros,1047
Singapore,1042
Puerto Rico,1029
Andorra,1026
Dominica,1012
Somaliland,1002
Western Sahara,996
Taiwan,994
Cayman Islands,950
Pakistan,947
Bonaire,947
Greenland,946
Seychelles,945
Maldives,942
Aruba,924
Bahamas,905
Monaco,903
Nepal,894
Sint Maarten,886
Saint Martin,860
San Marino,853
Somalia,846
Guam,833
Cambodia,817
Bangladesh,808
Chagos Islands,798
Djibouti,791
Laos,768
Turks and Caicos,763
Tuvalu,758
US Virgin Islands,721
Wallis and Futuna,701
Saint Barthélemy,694
Samoa,693
Vatican,692
Sri Lanka,689
Cook Islands,687
Saint Pierre and Miquelon,677
Macao,673
Mongolia,658
East Timor,633
Montserrat,632
Tibet,631
Brunei,625
British Virgin Islands,608
Niue,594
Bhutan,583
Federated States of Micronesia,564
Anguilla,563
Tonga,547
Kiribati,545
Eastern Samoa,464
Northern Mariana Islands,411
Palau,402
